,mean,std,mean+2std,mean-2std
chr1:167604788-167604789,0.030764477479803636,0.025335936912021934,0.0814363513038475,-0.01990739634424023
chr1:59207489-59207490,0.04459767184148565,0.016320866638603892,0.07723940511869343,0.011955938564277867
chr1:246487983-246487984,0.034523155663167104,0.022912457727212843,0.08034807111759279,-0.011301759791258581
chr1:199704584-199704585,0.040714975567912814,0.01470791431447354,0.0701308041968599,0.011299146938965735
chr1:221737032-221737207,0.02349243236527107,0.012229615509024658,0.04795166338332039,-0.000966798652778246
chr1:90175638-90175639,0.04905103789857228,0.012842430701206177,0.07473589930098463,0.023366176496159925
chr1:25844672-25844690,0.05328607023257559,0.021148575221270793,0.09558322067511718,0.010988919790034003
chr1:64734536-64734537,0.049639378826480215,0.015255413926084796,0.0801502066786498,0.019128550974310623
chr1:240118350-240118351,0.0183906741862075,0.014177835940365808,0.046746346066939115,-0.009964997694524115
chr1:248596843-248597494,0.04889826548889186,0.034992903101635275,0.11888407169216242,-0.02108754071437869
chr1:244303292-244303506,0.03932887531602374,0.014560426801315658,0.06844972891865506,0.010208021713392426
chr1:229853525-229853526,0.052021184690711014,0.02413852271909381,0.10029823012889863,0.0037441392525233916
chr1:245628858-245628979,0.04141369450228371,0.017311676184684818,0.07603704687165334,0.006790342132914073
chr1:167656457-167656458,0.044348936427655646,0.018018682082064634,0.08038630059178492,0.008311572263526378
chr1:15562644-15562645,0.038859662080366245,0.016820323232215564,0.07250030854479737,0.005219015615935116
chr1:184195068-184195069,0.0481060946110201,0.02092337932923149,0.08995285326948307,0.006259335952557114
chr1:233874693-233874694,0.0634017088120274,0.02591904018792671,0.11523978918788083,0.011563628436173985
chr1:200395442-200395443,0.043119627372346606,0.01509014962117246,0.07329992661469152,0.012939328130001686
chr1:202856391-202856392,0.06791918624384627,0.028523915658301736,0.12496701756044974,0.010871354927242796
chr1:27379196-27379197,0.056606193719579916,0.015605021146599358,0.08781623601277863,0.0253961514263812
chr1:56632445-56632446,0.07595170477888807,0.017659899908701947,0.11127150459629197,0.04063190496148418
chr1:246310349-246310486,0.07335515432034735,0.022832624377996446,0.11902040307634024,0.02768990556435446
chr1:25919290-25919395,0.0435893343599923,0.025471428841186368,0.09453219204236504,-0.0073535233223804355
chr1:97433085-97433086,0.07645774882245145,0.02479009698826431,0.12603794279898006,0.026877554845922823
chr1:189647755-189647756,0.057174646289468084,0.015924578848298107,0.0890238039860643,0.02532548859287187
chr1:244199712-244199782,0.05003492997896575,0.01581291630199241,0.08166076258295057,0.018409097374980928
chr1:33631017-33631053,0.04846928150668921,0.02705206307438578,0.10257340765546077,-0.0056348446420823525
chr1:15297510-15297511,0.05329011025356119,0.014390948216334977,0.08207200668623114,0.024508213820891234
chr1:68761419-68761432,0.05932307062319809,0.03461523522250376,0.1285535410682056,-0.00990739982180943
chr1:6817890-6818109,0.04841456723744529,0.014762329256878237,0.07793922575120177,0.018889908723688818
chr1:227753056-227753057,0.08740602449672351,0.03811473648302396,0.16363549746277142,0.011176551530675594
chr1:85247785-85247786,0.0775259541989234,0.03313892070790926,0.14380379561474194,0.011248112783104877
chr1:81644847-81644848,0.08469630503342167,0.01949653230029007,0.12368936963400182,0.045703240432841526
chr1:236451221-236451222,0.07435468838881626,0.021414957832280316,0.11718460405337688,0.03152477272425563
chr1:242108340-242108341,0.06472390256023265,0.021437312222589718,0.10759852700541209,0.021849278115053217
chr1:210032146-210032147,0.04385188416074437,0.026483549107110302,0.09681898237496497,-0.009115214053476234
chr1:185023471-185023742,0.058301229912672885,0.019628024963174024,0.09755727983902093,0.019045179986324837
chr1:113825525-113825526,0.07479694605216512,0.016836482528326632,0.10846991110881839,0.04112398099551186
chr1:220132091-220132729,0.06212478030392066,0.014736408579716267,0.09159759746335319,0.03265196314448812
chr1:150042035-150042036,0.06814726145977915,0.022316020805484775,0.1127793030707487,0.023515219848809596
chr1:239138486-239138487,0.03810610108140922,0.012597198441828135,0.0633004979650655,0.012911704197752952
chr1:240569726-240569727,0.0657369144355536,0.03069054851551192,0.12711801146657745,0.004355817404529762
chr1:30417477-30417478,0.09711478427544215,0.02380994144571897,0.1447346671668801,0.04949490138400421
chr1:162511259-162511260,0.10817239573675048,0.04029903449082866,0.1887704647184078,0.027574326755093165
chr1:171870703-171870704,0.0483872231189947,0.01761944277382414,0.08362610866664298,0.013148337571346425
chr1:113846111-113846112,0.05321319369293807,0.01607159919176659,0.08535639207647125,0.021069995309404885
chr1:182297893-182297980,0.10159822823792339,0.02266919827469691,0.1469366247873172,0.05625983168852957
chr1:156036311-156036312,0.9209671421969259,0.03493411587636529,0.9908353739496565,0.8510989104441953
chr1:199828975-199828976,0.8852997963658514,0.01939022325701923,0.9240802428798899,0.846519349851813
chr1:7434171-7434172,0.8909838612165231,0.022145067203464933,0.9352739956234529,0.8466937268095932
chr1:198590276-198590739,0.9108065013859598,0.01647049495876028,0.9437474913034803,0.8778655114684392
chr1:113753093-113753094,0.8981274890811726,0.019464299713277875,0.9370560885077284,0.8591988896546168
chr1:87240156-87240157,0.9183341319216174,0.017529988542318287,0.953394109006254,0.8832741548369808
chr1:23303071-23303072,0.8991844935100226,0.02319163248108264,0.9455677584721879,0.8528012285478573
chr1:175178551-175178552,0.9054660342230566,0.019724353620038933,0.9449147414631345,0.8660173269829787
chr1:150022760-150022761,0.8968760693696549,0.02045741422539092,0.9377908978204368,0.855961240918873
chr1:59221344-59221345,0.890430813510988,0.09307167477140474,1.0765741630537975,0.7042874639681784
chr1:205410562-205410563,0.9025541376225161,0.018963620667726677,0.9404813789579695,0.8646268962870628
chr1:36228011-36228012,0.9099965869139772,0.021753905472549344,0.9535043978590759,0.8664887759688785
chr1:34995905-34995906,0.9245223119518042,0.022883595358274986,0.9702895026683542,0.8787551212352542
chr1:12270775-12270888,0.9139512566689023,0.019130064387611626,0.9522113854441255,0.8756911278936791
chr1:178161801-178161802,0.8943792520523502,0.02057638689624702,0.9355320258448443,0.8532264782598562
chr1:175158326-175158327,0.8805750253034205,0.021714727919279267,0.924004481141979,0.837145569464862
chr1:172668586-172668587,0.9100005576762751,0.017525083095050964,0.945050723866377,0.8749503914861732
chr1:46009622-46009623,0.8789760219269944,0.0239604550239011,0.9268969319747966,0.8310551118791922
chr1:33565228-33565387,0.8819733566206547,0.020422780579099853,0.9228189177788544,0.841127795462455
chr1:152365643-152365644,0.8952703495380658,0.022176800693955157,0.9396239509259762,0.8509167481501555
chr1:193448591-193448592,0.9217547803076357,0.01701768526249722,0.9557901508326301,0.8877194097826413
chr1:200895186-200895187,0.9027184546442195,0.018705551532280727,0.9401295577087809,0.8653073515796581
chr1:154764508-154764509,0.8991555098361745,0.021257168926367306,0.9416698476889092,0.8566411719834399
chr1:23076988-23076989,0.9127728607293188,0.02328359135720327,0.9593400434437254,0.8662056780149123
chr1:17508341-17508342,0.9206587795414424,0.02780369321050762,0.9762661659624576,0.8650513931204271
chr1:167601275-167601286,0.8984661098253607,0.01809071533677432,0.9346475404989093,0.8622846791518121
chr1:172715611-172715612,0.8935065948102627,0.019822117375906487,0.9331508295620757,0.8538623600584497
chr1:62641440-62641441,0.8994016484325674,0.020772629550283202,0.9409469075331338,0.857856389332001
chr1:207999258-207999259,0.8931364620998082,0.017779689910541675,0.9286958419208916,0.8575770822787249
chr1:58452425-58452426,0.8947482066405628,0.021271398490862764,0.9372910036222883,0.8522054096588372
chr1:172714273-172714274,0.8947002477630017,0.022161406047566164,0.9390230598581341,0.8503774356678694
chr1:33383395-33383396,0.8994872879445414,0.024434525603990006,0.9483563391525214,0.8506182367365613
chr1:36408500-36408501,0.9292182336495826,0.015934415805414232,0.961087065260411,0.8973494020387541
chr1:24237531-24237532,0.9272365247629343,0.015885348890332017,0.9590072225435983,0.8954658269822703
chr1:200321433-200321434,0.9223909274005638,0.016729518952421706,0.9558499653054072,0.8889318894957204
chr1:32355084-32355085,0.9083470502240786,0.01821874108731554,0.9447845323987096,0.8719095680494475
chr1:112013757-112013758,0.8761071028097062,0.06970512168464552,1.0155173461789972,0.7366968594404151
chr1:26031001-26031002,0.8952475500355442,0.020825176831933963,0.9368979036994122,0.8535971963716763
chr1:161038506-161038507,0.8988119863036745,0.020597702821568645,0.9400073919468118,0.8576165806605373
chr1:157623294-157623295,0.9082825735794129,0.02360987280540489,0.9555023191902227,0.8610628279686031
chr1:168504989-168504990,0.9177813193278832,0.01857889328583049,0.9549391058995442,0.8806235327562222
chr1:19789840-19789841,0.9277586123747712,0.01440053038951159,0.9565596731537944,0.898957551595748
chr1:53103294-53103295,0.9084936360229441,0.017523523583462052,0.9435406831898682,0.87344658885602
chr1:206736644-206736645,0.917757008874604,0.018360168093235207,0.9544773450610744,0.8810366726881336
chr1:211526705-211526706,0.9545746338213943,0.036442815553523994,1.0274602649284423,0.8816890027143462
chr1:101577815-101577816,0.9215784256795453,0.016987145263658503,0.9555527162068623,0.8876041351522282
chr1:28495978-28495979,0.9395008787477053,0.014543378384121404,0.9685876355159481,0.9104141219794625
chr1:47701206-47701207,0.968048895852401,0.018858499670105278,1.0057658951926114,0.9303318965121904
chr2:7739760-7739871,0.06652458166629192,0.0296430117879877,0.12581060524226734,0.007238558090316524
chr2:101181112-101181113,0.05099650985500154,0.020485088102325442,0.09196668605965241,0.010026333650350654
chr2:70556142-70556143,0.04288948482617564,0.020536527623161834,0.08396254007249931,0.0018164295798519733
chr2:74045506-74045586,0.0400460932519323,0.012162088131508892,0.06437026951495009,0.015721916988914515
chr2:162197869-162197876,0.05088355950613893,0.02462631262297693,0.1001361847520928,0.0016309342601850685
chr2:225129662-225129663,0.058384275230407595,0.020447854012709446,0.09927998325582649,0.017488567204988703
chr2:1311570-1311856,0.05319658805377132,0.02020523986125077,0.09360706777627285,0.01278610833126978
chr2:152155003-152155004,0.04586542544561589,0.022671622967270353,0.09120867138015659,0.0005221795110751867
chr2:158455459-158455460,0.06106762056947219,0.01906364001339745,0.0991949005962671,0.02294034054267729
chr2:10559669-10559953,0.06306640118020501,0.021901053252273817,0.10686850768475264,0.01926429467565738
chr2:43035994-43035995,0.0700545004556788,0.02028468548060709,0.11062387141689298,0.029485129494464628
chr2:60442527-60442528,0.03615999969021163,0.023932087388322854,0.08402417446685734,-0.01170417508643408
chr2:228888500-228888521,0.0502004492913803,0.015815468834840377,0.08183138696106106,0.01856951162169955
chr2:241418399-241418400,0.05556590194728125,0.016529119171697672,0.08862414029067658,0.022507663603885904
chr2:60154029-60154034,0.06993109384636895,0.027292101538492437,0.12451529692335382,0.015346890769384072
chr2:54517167-54517383,0.06521999969463038,0.020520365891745357,0.1062607314781211,0.024179267911139668
chr2:176748847-176748848,0.07478747487817348,0.02755115823982626,0.129889791357826,0.019685158398520967
chr2:154354905-154354906,0.06925960324045405,0.01621786599526353,0.10169533523098111,0.03682387124992699
chr2:157223513-157223514,0.039373174310776325,0.018422453593005882,0.07621808149678809,0.0025282671247645605
chr2:106927102-106927321,0.046456144839369926,0.023505336462010775,0.09346681776339147,-0.0005545280846516246
chr2:60880222-60880223,0.0684738579093531,0.019006272598657323,0.10648640310666775,0.03046131271203846
chr2:230911000-230911345,0.06263392947263355,0.029042958927738675,0.12071984732811089,0.004548011617156199
chr2:202814226-202814524,0.042988089377422836,0.012181911584405933,0.06735191254623471,0.01862426620861097
chr2:190686883-190686884,0.02645136485065921,0.024128676915914162,0.07470871868248753,-0.021805988981169113
chr2:52856495-52856919,0.04778417055459635,0.018745738772709294,0.08527564810001494,0.010292693009177761
chr2:242766047-242766568,0.05263841586559569,0.014577674865113488,0.08179376559582267,0.023483066135368717
chr2:216670014-216670015,0.04943856033977641,0.015702884143520394,0.0808443286268172,0.01803279205273562
chr2:143465045-143465077,0.07989176316263019,0.014375285298293258,0.10864233375921671,0.05114119256604367
chr2:140505000-140505001,0.0579383073074164,0.017403468860818488,0.09274524502905337,0.023131369585779424
chr2:106498162-106498514,0.05715669661847681,0.022897507110997434,0.10295171084047168,0.011361682396481942
chr2:85763195-85763196,0.07181259289313428,0.023408504904952873,0.11862960270304003,0.024995583083228537
chr2:35217728-35217729,0.07123148324919272,0.03344235868614989,0.1381162006214925,0.004346765876892936
chr2:200422937-200423079,0.05049053577684133,0.015266525113115933,0.08102358600307319,0.019957485550609465
chr2:61200075-61200230,0.0712310722961858,0.028545858006349102,0.128322788308884,0.0141393562834876
chr2:5465874-5465875,0.07442616206194026,0.05256708015782451,0.1795603223775893,-0.030707998253708763
chr2:161253423-161253648,0.06296464556153088,0.020866073842831217,0.1046967932471933,0.021232497875868443
chr2:207068254-207068410,0.059224538832234525,0.027157043264224134,0.1135386253606828,0.004910452303786256
chr2:144557013-144557014,0.06315252959778606,0.015648044781023728,0.09444861915983352,0.0318564400357386
